Complexity,Loss,Equation
1,93.212234,"-32.861275"
5,90.53831,"(-33.692326 + cos(even(x0)))"
6,57.93599,"(-26.989609 + (-11.879552 * even(x0)))"
8,53.87834,"(-26.989681 + (even(x1 * x0) * -17.510149))"
9,26.103384,"(-21.334766 + (-11.551547 * (even(x0) + even(x1))))"
12,26.075857,"(-21.43159 + ((-12.430666 + even(x1)) * (even(x0) + even(x1))))"
13,25.289036,"(-21.43159 + (-12.430666 * even(x0 + ((x1 * even(x1)) * 0.9988459))))"
14,23.021873,"(-20.857601 + ((-12.051311 * (even(x0) + even(x1))) + sin(0.087833256 * x0)))"
17,22.136717,"((exp(even(x1)) + (exp(even(x0)) + cos(sin(-0.05170247 * x1) + -0.35280812))) * -7.1801386)"
18,21.123478,"((exp(even(x1)) + (exp(even(x0)) + cos(sin(sin(-0.05170247 * x1)) + -0.4875965))) * -7.1801386)"
19,19.67057,"(((exp(even(x1)) + (exp(even(x0)) + cos(sin(-0.05170247 * x1) + -0.4875965))) + 0.21956812) * -7.1801386)"
