PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,n
0.58650166,-0.029535646,0.14095408,0.272372,-0.17122641,0.35551688,-0.38379183,-0.23885433,0.13292406,0.323569,0
0.8038278,-0.25853643,0.010545934,-0.025130518,-0.21185659,0.36043003,0.1488838,-0.4133885,-0.46807054,-0.27790138,1
0.65621585,0.015109162,-0.011205746,0.25200924,0.25279728,0.47711042,-0.2650766,-0.60354334,0.050613284,-0.35773733,2
0.8006918,-0.14159843,-0.026323449,0.098278776,-0.29463518,0.16856262,-0.28268057,0.28385964,0.19883937,0.09606255,3
0.40839908,0.060749054,0.09081595,0.014962278,0.044116393,0.09217068,0.227113,0.14989217,-0.38544664,0.08391288,4
0.62526995,0.14568833,0.11534416,0.038969312,0.07434958,0.31975213,-0.50475824,-0.009331177,0.2895794,0.6162448,5
0.53512937,0.15317294,0.23152015,0.008569648,-0.069715075,0.13060984,0.18671657,0.09013648,0.56298107,-0.1374292,6
0.6960388,-0.09209394,0.12534478,0.09363275,0.06473197,0.37505573,0.026626332,0.19009475,-0.031603932,-0.45872837,7
0.7241613,0.0003913357,-0.17920874,-0.009348106,0.084210075,0.1807892,-0.40837237,-0.6807091,-0.5308928,-0.01951139,8
5.4865623,2.061189,3.0541432,-0.13103916,0.6817177,0.6046438,-0.10979566,-1.1192491,1.3087353,-1.0355985,9
5.3495455,-1.5712686,2.8671584,-0.66819257,0.7825885,0.12899542,0.074445166,-0.1576,-0.8440116,0.18779865,10
5.0972285,1.2384613,2.4901786,0.8228923,-0.028001681,-0.15145628,0.0028133492,0.0066788727,0.6944839,-0.92858994,11
5.00667,-1.9486983,2.1380084,0.55824405,-0.11918925,-0.77449495,-0.39478555,0.9552398,-0.37308306,-0.3346181,12
4.74994,0.94131553,1.5894488,1.549438,0.22455736,-0.1101451,0.3051349,-0.14479725,0.8501943,-0.21411666,13
4.7108364,-2.0499017,0.9965546,1.0623378,0.76565224,0.1143126,0.72043973,-0.78815454,-0.5170507,0.6977763,14
