PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,zn,z,n
7.4318604,-1.3484397,-1.6022965,3.6604483,0.36631054,-0.5915311,0.57171464,0.026164897,0.6576381,-0.80861306,9-9,9,9
7.392758,-1.2343644,1.397409,3.5355315,0.90634567,-0.7950905,0.5855688,-0.019063706,0.8023812,-0.72371215,9-10,9,10
7.1925497,-1.3407127,-0.90912265,3.509535,-0.20141277,-0.2011028,0.4670479,-0.09702872,0.69747037,-1.1659184,9-11,9,11
7.1873727,-1.2526792,1.7906126,3.228232,0.039007775,-0.25630558,0.38267398,-0.024146557,0.7273865,-1.259289,9-12,9,12
6.98472,-1.357273,-0.6398189,3.2003798,-0.7659984,0.1798153,0.6430049,0.025848096,0.38185456,-0.9787195,9-13,9,13
6.9886007,-1.2727484,1.953505,2.865335,-0.26603392,0.072479255,0.9778222,0.19394435,0.38884124,-0.5653453,9-14,9,14
6.758405,-1.358435,-0.4417736,2.9935582,-0.6825105,0.23684289,1.1184129,0.2673013,0.296529,-0.36760893,9-15,9,15
6.745408,-1.3103595,1.1226295,2.7302015,0.40205783,-0.2879098,0.99418664,-0.007466852,0.43253085,-0.43840265,9-16,9,16
6.555732,-1.4011754,-1.1186345,2.8150241,0.5546998,-0.440791,0.7687598,0.043535892,0.51318806,-0.65770805,9-17,9,17
6.575936,-1.3226782,0.8511235,2.6713088,1.2799828,-0.8508288,0.5145986,-0.0732234,0.4906173,-0.81863284,9-18,9,18
6.395771,-1.4003477,-1.0776443,2.848382,0.6666219,-0.5193441,0.6194818,-0.15329944,0.5664608,-0.85016173,9-19,9,19
6.410642,-1.3266969,1.167687,2.5528364,0.90044117,-0.5507683,0.59533167,-0.1175615,0.6585129,-0.8887785,9-20,9,20
6.228932,-1.4174215,-1.2884433,2.6998363,0.46637613,-0.43659243,0.7941313,-0.06704878,0.47391203,-0.6157921,9-21,9,21
6.276612,-1.3302299,1.0182465,2.5614293,0.7928462,-0.4162728,0.8306493,-0.21080999,0.48830983,-0.67683834,9-22,9,22
7.267933,1.6056336,-1.6929759,3.5583289,0.49566737,-0.13932312,-0.0815557,0.08503253,0.24755935,-0.2640068,10-9,10,9
7.228834,1.7197043,1.3067292,3.433409,1.035703,-0.34288394,-0.067696854,0.03980446,0.39230332,-0.17910354,10-10,10,10
7.0286264,1.6133586,-0.9997994,3.407414,-0.072056875,0.2511047,-0.18621945,-0.03815918,0.28739092,-0.62130624,10-11,10,11
7.0234494,1.7013919,1.6999326,3.1261086,0.1683673,0.19589972,-0.2705974,0.034718104,0.3173079,-0.71467847,10-12,10,12
6.8207974,1.5967976,-0.7304987,3.0982556,-0.6366403,0.6320221,-0.010260202,0.084714875,-0.028226107,-0.43411046,10-13,10,13
6.8246775,1.681323,1.8628256,2.7632103,-0.1366769,0.5246845,0.32455713,0.25281182,-0.02123789,-0.020734904,10-14,10,14
6.594482,1.5956361,-0.5324534,2.8914344,-0.5531533,0.6890486,0.4651458,0.32616958,-0.11355338,0.17700419,10-15,10,15
