C1,C2,zn,z,n
77.052574,0.019026617,9-9,9,9
77.581566,-0.7567882,9-10,9,10
77.32556,-0.04113234,9-11,9,11
77.78775,-0.67017984,9-12,9,12
77.42408,0.0065803514,9-13,9,13
77.86615,-0.6503382,9-14,9,14
77.564095,0.021672728,9-15,9,15
77.88903,-0.3736518,9-16,9,16
77.688896,0.15618601,9-17,9,17
78.07964,-0.21514384,9-18,9,18
77.84091,0.2543259,9-19,9,19
78.16853,-0.24647973,9-20,9,20
77.935555,0.31057137,9-21,9,21
78.22833,-0.21842223,9-22,9,22
75.86081,-5.8931236,10-9,10,9
76.33447,-4.843207,10-10,10,10
76.16094,-5.7526393,10-11,10,11
76.62983,-4.931657,10-12,10,12
76.3002,-5.8238463,10-13,10,13
76.73398,-4.950438,10-14,10,14
76.47747,-5.8318944,10-15,10,15
76.792564,-5.273111,10-16,10,16
76.61017,-5.9874144,10-17,10,17
77.03469,-5.402226,10-18,10,18
76.81145,-6.1135726,10-19,10,19
77.177414,-5.3784013,10-20,10,20
76.99324,-6.206491,10-21,10,21
77.31904,-5.544431,10-22,10,22
77.0412,-6.104795,10-23,10,23
77.357185,-5.4914865,10-24,10,24
74.37597,-1.279934,11-9,11,9
73.15214,-2.0565975,11-10,11,10
73.91871,-1.3099853,11-11,11,11
72.69131,-1.8404003,11-12,11,12
73.73532,-1.2042649,11-13,11,13
72.427,-1.7489885,11-14,11,14
73.49765,-1.1708419,11-15,11,15
72.840416,-1.4364903,11-16,11,16
73.497696,-0.8678544,11-17,11,17
72.72684,-1.1878293,11-18,11,18
73.45294,-0.6302805,11-19,11,19
72.44908,-1.1643791,11-20,11,20
73.32369,-0.36732227,11-21,11,21
72.3795,-0.8423408,11-22,11,22
73.058,-0.45826453,11-23,11,23
72.20822,-0.84875345,11-24,11,24
72.94446,-0.4031633,11-25,11,25
72.16612,-0.78977686,11-26,11,26
73.744644,-5.7897434,12-9,12,9
72.6903,-4.6064625,12-10,12,10
73.303955,-5.583219,12-11,12,11
72.246315,-4.780243,12-12,12,12
73.07194,-5.721219,12-13,12,13
71.981476,-4.846203,12-14,12,14
72.83365,-5.7462907,12-15,12,15
72.24533,-5.276162,12-16,12,16
72.790215,-6.0250926,12-17,12,17
72.09236,-5.466066,12-18,12,18
72.74425,-6.248504,12-19,12,19
71.83919,-5.427653,12-20,12,20
72.67233,-6.5021424,12-21,12,21
71.77496,-5.7070775,12-22,12,22
72.39019,-6.3793693,12-23,12,23
71.57717,-5.7964206,12-24,12,24
72.18174,-6.4356937,12-25,12,25
71.48637,-5.923428,12-26,12,26
71.89631,-6.552496,12-27,12,27
71.103516,-6.013754,12-28,12,28
74.60197,2.5815291,13-9,13,9
73.16834,2.246242,13-10,13,10
74.18155,2.821865,13-11,13,11
72.91119,2.5766368,13-12,13,12
74.08062,3.0765617,13-13,13,13
72.74464,2.7233868,13-14,13,14
73.88242,3.2717524,13-15,13,15
73.08355,3.145841,13-16,13,16
73.94133,3.5331612,13-17,13,17
73.033104,3.3058484,13-18,13,18
73.965065,3.7344387,13-19,13,19
72.7823,3.402485,13-20,13,20
74.05631,4.048236,13-21,13,21
72.856735,3.9137304,13-22,13,22
73.73543,4.1713758,13-23,13,23
72.70213,3.9644635,13-24,13,24
73.62421,4.36877,13-25,13,25
72.689415,4.0997243,13-26,13,26
73.49732,4.6152763,13-27,13,27
72.33172,4.230413,13-28,13,28
73.351265,4.6689253,13-29,13,29
72.53366,4.7426114,13-30,13,30
72.4879,-9.433595,14-9,14,9
71.23165,-8.656285,14-10,14,10
72.037544,-9.484294,14-11,14,11
70.79341,-8.842151,14-12,14,12
71.82938,-9.67177,14-13,14,13
70.519516,-8.936732,14-14,14,14
71.548096,-9.784614,14-15,14,15
70.80118,-9.404318,14-16,14,16
71.54363,-10.02579,14-17,14,17
70.750984,-9.510707,14-18,14,18
71.524704,-10.20639,14-19,14,19
70.45286,-9.525865,14-20,14,20
71.51447,-10.526687,14-21,14,21
70.345924,-10.041269,14-22,14,22
71.15948,-10.526211,14-23,14,23
70.19952,-9.992438,14-24,14,24
70.98623,-10.655197,14-25,14,25
70.13674,-10.077365,14-26,14,26
70.81902,-10.798049,14-27,14,27
69.705475,-9.9287615,14-28,14,28
70.63338,-10.829998,14-29,14,29
69.84567,-10.610033,14-30,14,30
69.8219,1.6557397,15-10,15,10
69.87376,2.7847474,15-11,15,11
69.32902,1.7024817,15-12,15,12
69.6281,2.9215572,15-13,15,13
69.11934,1.7048776,15-14,15,14
69.37376,2.9965515,15-15,15,15
69.01411,2.2832115,15-16,15,16
69.24131,3.260796,15-17,15,17
68.83545,2.3494842,15-18,15,18
69.169014,3.464648,15-19,15,19
68.615685,2.2910411,15-20,15,20
69.01431,3.845825,15-21,15,21
68.311325,2.8664823,15-22,15,22
68.71641,3.7077024,15-23,15,23
68.18417,2.7530355,15-24,15,24
68.55223,3.7953143,15-25,15,25
68.08573,2.8380368,15-26,15,26
68.365395,3.9198375,15-27,15,27
67.76732,2.6369042,15-28,15,28
68.14406,3.8926446,15-29,15,29
67.50946,3.535641,15-30,15,30
67.97287,3.9949892,15-31,15,31
69.13339,-3.1384883,16-10,16,10
68.94928,-4.149525,16-11,16,11
68.55706,-3.076781,16-12,16,12
68.690796,-4.2993236,16-13,16,13
68.307976,-3.0411935,16-14,16,14
68.43223,-4.306332,16-15,16,15
68.01758,-3.4653656,16-16,16,16
68.17723,-4.429164,16-17,16,17
67.7875,-3.4603314,16-18,16,18
68.0379,-4.602374,16-19,16,19
67.53804,-3.2608774,16-20,16,20
67.9258,-5.0452228,16-21,16,21
67.094894,-3.629872,16-22,16,22
67.60481,-4.7546444,16-23,16,23
66.994835,-3.6753328,16-24,16,24
67.38938,-4.798288,16-25,16,25
66.8473,-3.8486557,16-26,16,26
67.124435,-4.9510694,16-27,16,27
66.15388,-4.138522,16-28,16,28
66.93705,-4.6839194,16-29,16,29
66.143036,-3.5756247,16-30,16,30
66.68031,-3.8737576,16-32,16,32
66.88646,-0.45117134,17-12,17,12
66.510994,0.680565,17-13,17,13
66.65336,-0.56471026,17-14,17,14
66.30805,0.59857184,17-15,17,15
66.03487,-0.20424093,17-16,17,16
65.71823,0.9427256,17-17,17,17
65.720665,-0.21178307,17-18,17,18
65.573074,1.0851462,17-19,17,19
65.51876,-0.45428208,17-20,17,20
65.329735,1.5252565,17-21,17,21
64.86033,0.07165247,17-22,17,22
64.92448,1.406573,17-23,17,23
64.833046,-0.1612402,17-24,17,24
64.798546,1.6303762,17-25,17,25
64.69807,-0.09138619,17-26,17,26
64.64554,2.0638084,17-27,17,27
59.241512,-4.4148927,17-28,17,28
64.29461,1.6846173,17-29,17,29
63.530006,0.44921684,17-30,17,30
63.883278,1.4628866,17-31,17,31
64.20713,0.4751312,17-32,17,32
64.107765,1.4196787,17-33,17,33
64.17303,0.5651912,17-34,17,34
63.987427,1.5048962,17-35,17,35
64.88932,-5.8424664,18-12,18,12
65.24947,-7.1370583,18-13,18,13
64.791145,-5.8111906,18-14,18,14
65.107605,-7.113996,18-15,18,15
64.32888,-6.143974,18-16,18,16
64.54965,-7.1743417,18-17,18,17
64.092,-6.0853696,18-18,18,18
64.4666,-7.2337627,18-19,18,19
63.814186,-5.809386,18-20,18,20
64.44454,-7.797838,18-21,18,21
63.313828,-6.2786627,18-22,18,22
