PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,z
0.6891055,-0.30465052,-0.21017493,-0.120516255,-0.16978137,-0.2952903,0.28380215,-0.41793463,0.33229902,0.32329622,0
0.5964889,-0.17327166,-0.04058494,-0.27243066,0.21601635,0.075500466,-0.3389352,-0.25342083,0.1690065,0.628001,1
0.49182585,-0.19983542,-0.25766337,-0.20643778,0.30824104,0.10156664,0.22085965,-0.25117794,1.1350243,0.9175455,2
0.5262227,-0.14978854,-0.3229815,-0.04170242,-0.027746053,0.19927306,0.4477878,-0.29650894,0.31756186,-0.030120114,3
0.43806928,-0.0925945,-0.16065459,-0.25588468,0.19555403,-0.5067368,0.091723755,-0.22553523,0.7263998,-0.38929164,4
0.6803895,-0.04634789,-0.39486662,-0.008321219,-0.0959142,-0.20651989,0.19955894,-0.4952074,0.36475295,-0.4636851,5
0.55335665,-0.3701564,-0.05239102,0.14254749,0.16725732,-0.02925353,-0.47282863,-0.13300987,0.4142454,0.2700502,6
0.6779079,0.06644782,-0.13518836,0.30283895,-0.28593317,-0.04618528,0.7650966,-0.39798725,0.48047078,0.09537497,7
0.54220337,-0.19007799,-0.49812907,0.03723117,0.22922613,-0.1340054,0.42766526,-0.9829802,0.64040565,-0.53738564,8
5.645232,1.8162668,3.7279677,-0.310525,1.6677934,0.54637486,-1.1789731,1.1434335,-0.09986095,0.106354244,9
5.404799,-1.7784672,3.035841,-0.66927767,-0.27154428,-0.8285924,0.588273,-0.89886165,-0.18036541,0.33722836,10
5.2002234,1.1975334,1.9695041,0.18006548,-0.22682703,-0.71859246,0.789163,0.031557668,0.23975813,0.38798147,11
5.0072794,-1.6784933,1.4175175,0.79489154,-0.26257232,-0.80739546,-0.754958,-0.5530603,0.47436142,0.33664957,12
4.796617,1.4347478,0.815623,1.4741749,-1.2239417,0.60014623,-0.73321706,0.1137842,1.2886802,-1.2405185,13
4.6124268,-1.753443,0.3869012,1.5147115,-1.5726962,0.53347033,0.011813777,-0.49840775,0.8845894,-0.34409776,14
4.3083806,0.9620106,0.2042431,1.8844147,-1.2292376,0.74953395,0.38354886,1.6169515,-0.73801875,-0.23738903,15
4.1254735,-1.177599,0.5086887,0.7435073,0.267724,0.094295874,1.1612018,1.150374,-0.54792005,1.0491772,16
3.926409,1.0174656,0.3720492,0.7371206,0.45827425,0.24405067,0.8821314,0.74063766,-0.5445352,-0.12307422,17
3.7922308,-1.190987,0.45221558,0.2590101,0.9154139,-0.23397276,1.3158684,-0.39023092,-0.6345787,-0.833789,18
3.6729946,1.1533222,0.23700838,0.27218273,0.97014284,-0.47847396,0.36798492,0.2205403,-0.9253847,-0.26862514,19
3.5503995,-1.5455111,-0.11896916,-0.6976319,1.8205024,0.25592026,-0.023899466,-0.6586611,-0.36866853,0.007883126,20
